cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pweight,polintr,polcmpl,poldcs,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,vote,contplt,wrkprty,wrkorg,badge,sgnptit,pbldmn,bctprd,clsprty,prtdgcl,mmbprty,lrscale,stflife,stfeco,stfgov,stfdem,stfedu,stfhlth,gincdif,freehms,prtyban,scnsenv,euftf,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun,
ES,ESS1-5e011,1.1,01.02.2013,72446,ESS1e06_3,1,6.3,2,1.2672,2.02007964141122,3,3,3,5,5,5,1,,5,8,3,2,2,2,2,2,2,2,2,6,2,3,6,4,0,5,3,5,3,1,2,3,,8,3,2,5,5,5,3,6,2,5,3,3,4,3,3,2,2,3,4,2,3,3,5,2,2,4,2,
ES,ESS1-5e011,1.1,01.02.2013,72447,ESS1e06_3,1,6.3,5,0.8448,2.02007964141122,2,3,4,4,2,4,2,,2,4,2,2,2,2,2,1,2,1,2,6,2,3,6,3,0,2,4,4,1,1,2,2,,1,1,1,6,9,9,1,2,1,1,2,2,6,2,3,1,1,3,1,3,5,5,4,1,1,2,1,
ES,ESS1-5e011,1.1,01.02.2013,72448,ESS1e06_3,1,6.3,8,1.2672,2.02007964141122,3,3,3,5,2,0,0,,0,0,3,2,2,2,2,2,2,2,2,6,2,0,8,5,5,6,5,5,2,3,2,3,,3,3,2,6,5,5,3,5,1,3,2,3,3,2,1,3,1,1,3,3,3,3,5,1,1,3,1,
ES,ESS1-5e011,1.1,01.02.2013,72449,ESS1e06_3,1,6.3,13,0.8652,2.02007964141122,4,5,8,5,5,5,3,,5,5,1,2,2,2,2,2,2,2,1,2,2,2,8,6,5,2,7,6,4,2,4,2,,4,4,4,6,5,3,4,5,6,6,3,2,5,2,2,2,1,3,6,5,5,4,4,4,3,5,4,
ES,ESS1-5e011,1.1,01.02.2013,72450,ESS1e06_3,1,6.3,15,0.8652,2.02007964141122,4,5,1,7,1,7,88,,88,88,2,2,2,2,2,2,2,2,1,2,2,5,5,4,4,4,3,7,2,5,8,8,,4,4,8,88,88,88,2,4,2,5,1,4,1,5,1,6,2,1,3,2,6,1,2,2,2,1,3,
ES,ESS1-5e011,1.1,01.02.2013,72451,ESS1e06_3,1,6.3,22,1.7304,2.02007964141122,3,5,3,9,6,9,5,,7,8,3,2,2,2,2,1,2,2,2,6,2,88,9,7,7,8,8,8,1,1,2,3,,1,1,2,9,8,6,2,5,2,3,3,3,5,2,3,3,2,2,3,3,3,3,4,2,2,4,4,
ES,ESS1-5e011,1.1,01.02.2013,72452,ESS1e06_3,1,6.3,23,0.4326,2.02007964141122,3,5,3,1,1,7,0,,88,88,1,2,2,2,2,2,2,2,2,6,2,88,5,88,2,5,6,7,2,2,8,8,,3,8,3,2,3,3,2,4,2,2,1,2,3,4,2,2,2,2,2,3,6,2,2,2,2,2,2,
ES,ESS1-5e011,1.1,01.02.2013,72453,ESS1e06_3,1,6.3,25,1.7941,2.02007964141122,4,4,4,5,4,4,1,,3,5,1,2,2,1,2,1,1,2,8,6,2,3,6,5,2,4,1,2,2,1,3,3,,1,1,1,9,9,7,3,5,1,4,4,2,5,2,3,3,2,2,4,4,3,3,3,2,3,4,3,
ES,ESS1-5e011,1.1,01.02.2013,72454,ESS1e06_3,1,6.3,27,1.3456,2.02007964141122,3,3,4,7,3,6,2,,5,3,1,2,2,2,2,2,2,2,2,6,2,5,7,4,3,8,3,6,2,2,1,2,,1,1,1,6,5,7,3,6,2,6,2,3,4,2,2,3,3,3,5,2,6,3,5,2,2,5,5,
ES,ESS1-5e011,1.1,01.02.2013,72455,ESS1e06_3,1,6.3,31,0.897,2.02007964141122,2,3,3,3,3,5,3,,5,8,2,2,2,2,2,2,2,2,1,3,2,3,7,3,3,10,5,8,1,1,1,2,,3,3,3,7,8,5,5,6,2,6,1,5,2,2,2,4,2,2,3,1,6,2,5,2,1,1,3,
ES,ESS1-5e011,1.1,01.02.2013,72456,ESS1e06_3,1,6.3,36,1.3456,2.02007964141122,4,4,4,5,5,7,3,,5,8,1,1,1,1,2,2,2,2,2,6,2,5,7,7,5,7,2,4,2,2,1,1,,3,3,3,5,7,4,2,3,1,4,1,1,3,1,1,1,1,2,4,1,4,2,2,1,2,2,3,
ES,ESS1-5e011,1.1,01.02.2013,72457,ESS1e06_3,1,6.3,37,1.7045,2.02007964141122,4,3,2,5,2,10,3,,8,8,8,2,2,2,2,2,2,2,2,6,2,88,10,5,5,8,8,10,2,2,2,2,,3,3,3,88,88,4,2,6,3,5,1,3,4,2,5,1,2,2,1,3,1,2,1,1,1,4,1,
ES,ESS1-5e011,1.1,01.02.2013,72458,ESS1e06_3,1,6.3,38,0.8522,2.02007964141122,3,3,2,88,2,2,4,,88,88,1,2,2,2,2,2,2,2,1,3,2,4,5,88,6,5,5,3,2,3,8,8,,3,8,3,4,88,3,2,5,2,2,2,3,1,2,2,3,2,2,4,2,5,2,2,2,2,2,5,
ES,ESS1-5e011,1.1,01.02.2013,72459,ESS1e06_3,1,6.3,41,0.8522,2.02007964141122,4,3,1,88,88,5,2,,88,88,1,2,2,2,2,2,2,2,1,2,2,3,6,4,2,6,88,6,2,8,2,8,,8,8,8,2,88,88,3,3,2,3,2,3,2,3,2,4,2,2,3,2,4,2,2,2,2,2,4,
ES,ESS1-5e011,1.1,01.02.2013,72460,ESS1e06_3,1,6.3,42,0.4261,2.02007964141122,4,4,8,6,2,2,88,,88,88,1,2,2,2,2,2,2,2,2,6,2,88,5,88,4,3,88,4,2,2,8,2,,3,8,3,5,5,4,2,5,2,2,2,2,2,3,2,1,3,2,3,2,5,2,2,2,2,4,2,
ES,ESS1-5e011,1.1,01.02.2013,72461,ESS1e06_3,1,6.3,43,1.2784,2.02007964141122,2,3,3,8,6,8,7,,5,5,2,2,2,2,2,2,2,2,2,6,2,88,2,4,2,5,4,4,2,3,2,3,,3,3,8,5,88,5,3,5,2,3,2,5,2,2,3,5,2,2,3,2,5,2,2,2,2,2,4,
ES,ESS1-5e011,1.1,01.02.2013,72462,ESS1e06_3,1,6.3,46,0.4261,2.02007964141122,4,5,3,6,3,7,4,,5,5,2,2,2,2,2,2,2,2,2,6,2,4,6,5,5,6,88,5,2,2,8,8,,8,8,8,88,88,88,5,4,2,2,2,5,2,2,2,5,2,2,5,2,5,2,2,2,2,2,5,
ES,ESS1-5e011,1.1,01.02.2013,72463,ESS1e06_3,1,6.3,47,0.7451,2.02007964141122,4,5,1,88,9,9,7,,88,88,1,2,2,2,2,2,2,2,2,6,2,88,10,9,9,7,8,9,8,2,2,8,,1,1,1,8,88,7,1,5,2,2,2,5,1,2,6,3,4,2,5,2,6,2,6,1,2,2,2,
ES,ESS1-5e011,1.1,01.02.2013,72464,ESS1e06_3,1,6.3,48,0.7451,2.02007964141122,4,4,3,2,2,2,2,,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,4,2,8,2,2,,4,4,4,88,88,88,2,5,5,5,2,5,5,2,3,5,2,3,3,2,3,2,2,4,3,3,3,
ES,ESS1-5e011,1.1,01.02.2013,72465,ESS1e06_3,1,6.3,49,1.1177,2.02007964141122,4,5,1,5,0,2,88,,5,88,2,2,2,2,2,1,2,2,2,6,2,88,10,0,5,0,5,10,1,3,1,8,,4,4,4,1,88,2,1,6,4,2,1,6,2,2,1,2,1,1,2,2,6,1,2,5,1,5,1,
ES,ESS1-5e011,1.1,01.02.2013,72466,ESS1e06_3,1,6.3,51,0.3726,2.02007964141122,4,3,3,5,4,5,6,,6,6,1,2,2,2,2,2,2,2,1,3,2,3,4,4,88,5,4,5,2,2,8,8,,3,3,3,88,88,3,2,5,2,3,2,5,2,2,2,4,2,2,5,2,6,2,2,2,4,2,2,
ES,ESS1-5e011,1.1,01.02.2013,72467,ESS1e06_3,1,6.3,53,1.4902,2.02007964141122,4,5,1,5,4,3,4,,7,8,3,2,2,2,2,1,2,2,1,3,2,8,9,5,3,5,7,8,1,1,1,3,,2,2,2,5,7,5,1,2,3,3,2,1,4,3,3,2,2,1,2,2,1,3,4,1,3,1,1,
ES,ESS1-5e011,1.1,01.02.2013,72468,ESS1e06_3,1,6.3,54,0.7451,2.02007964141122,2,2,3,7,8,2,5,,8,8,2,2,2,2,2,2,2,2,2,6,2,7,7,5,5,88,88,6,8,8,8,8,,3,3,3,5,88,5,2,4,2,2,2,2,2,2,2,2,2,2,3,2,5,2,2,2,2,2,2,
ES,ESS1-5e011,1.1,01.02.2013,72469,ESS1e06_3,1,6.3,55,0.7451,2.02007964141122,4,5,2,7,6,4,2,,6,4,1,2,2,2,2,2,2,2,2,6,2,3,4,4,3,4,3,5,2,2,2,8,,4,4,4,88,88,3,2,5,2,2,2,5,2,2,2,5,3,2,2,2,6,2,2,2,4,2,5,
ES,ESS1-5e011,1.1,01.02.2013,72470,ESS1e06_3,1,6.3,59,0.923,2.02007964141122,4,5,1,7,7,7,4,,88,88,1,2,2,2,2,2,2,2,2,6,2,3,4,6,4,5,4,6,8,8,8,8,,3,3,8,88,88,88,3,5,2,2,2,5,2,2,2,6,2,2,6,4,6,2,2,2,4,2,6,
ES,ESS1-5e011,1.1,01.02.2013,72471,ESS1e06_3,1,6.3,60,1.3845,2.02007964141122,4,4,1,7,6,6,7,,6,4,1,2,2,2,2,2,2,2,2,6,2,3,5,6,4,5,5,5,2,2,2,2,,4,4,4,3,5,6,3,4,2,2,3,6,3,2,3,3,2,2,4,2,5,2,2,2,3,2,2,
ES,ESS1-5e011,1.1,01.02.2013,72472,ESS1e06_3,1,6.3,61,0.4615,2.02007964141122,3,5,2,6,5,5,4,,5,5,1,2,2,2,2,2,2,2,2,6,2,3,6,4,5,5,4,6,8,8,8,8,,3,3,3,3,6,3,2,5,3,4,2,5,2,2,2,2,3,2,5,3,6,2,2,2,3,2,3,
ES,ESS1-5e011,1.1,01.02.2013,72473,ESS1e06_3,1,6.3,64,0.923,2.02007964141122,3,5,1,6,5,6,5,,5,5,2,2,2,2,2,2,2,2,2,6,2,88,4,5,4,5,5,4,2,8,2,2,,3,3,3,3,5,5,2,5,3,2,2,5,2,2,2,2,2,2,5,2,3,2,2,2,2,2,5,
ES,ESS1-5e011,1.1,01.02.2013,72474,ESS1e06_3,1,6.3,66,0.923,2.02007964141122,4,5,3,7,7,8,6,,6,6,1,2,2,2,2,2,2,2,1,2,2,4,6,5,5,5,88,7,2,2,2,2,,3,3,3,88,88,88,2,5,2,2,2,5,2,2,2,5,2,2,5,3,5,2,2,2,2,3,3,
ES,ESS1-5e011,1.1,01.02.2013,72475,ESS1e06_3,1,6.3,68,1.3651,2.02007964141122,3,3,3,6,5,3,2,,5,6,1,2,2,2,2,1,2,2,2,6,2,4,5,3,3,6,5,7,2,1,2,4,,2,2,2,7,7,7,3,5,1,3,3,3,5,2,4,3,1,3,3,3,4,4,2,3,3,3,4,
ES,ESS1-5e011,1.1,01.02.2013,72476,ESS1e06_3,1,6.3,69,0.6825,2.02007964141122,2,2,3,5,4,2,0,,5,3,1,2,1,2,1,1,1,2,2,6,2,3,4,3,1,5,3,5,2,1,3,5,,1,1,1,7,8,7,2,4,1,3,3,2,5,2,3,3,2,2,4,5,2,5,3,2,1,5,3,
ES,ESS1-5e011,1.1,01.02.2013,72477,ESS1e06_3,1,6.3,71,1.3651,2.02007964141122,2,2,4,7,6,8,5,,7,7,1,2,2,2,2,1,2,2,2,6,2,5,6,6,4,7,5,7,3,2,2,3,,3,4,3,7,7,4,1,5,2,1,1,4,3,2,3,4,2,3,3,1,4,2,2,3,4,2,4,
ES,ESS1-5e011,1.1,01.02.2013,72478,ESS1e06_3,1,6.3,72,1.0238,2.02007964141122,3,3,3,6,6,5,4,,6,7,1,2,2,2,2,2,2,2,2,6,2,5,6,4,4,7,88,4,4,1,2,3,,3,3,3,6,7,4,4,4,1,3,2,4,2,2,2,5,1,2,4,3,4,2,2,2,3,2,5,
ES,ESS1-5e011,1.1,01.02.2013,72479,ESS1e06_3,1,6.3,73,0.3413,2.02007964141122,4,5,1,10,10,10,2,,88,88,1,2,2,2,2,2,2,2,1,6,2,5,10,2,3,9,6,5,2,3,2,5,,8,8,2,5,6,3,5,5,2,4,2,3,2,2,2,5,4,1,4,1,5,1,2,2,2,3,5,
ES,ESS1-5e011,1.1,01.02.2013,72480,ESS1e06_3,1,6.3,74,0.6825,2.02007964141122,3,3,4,7,6,6,4,,8,8,1,2,2,2,2,2,2,2,1,3,2,4,7,4,4,8,6,4,2,2,2,5,,1,1,1,7,8,8,1,1,1,2,2,2,5,3,2,2,1,2,1,1,1,2,2,1,1,2,2,
ES,ESS1-5e011,1.1,01.02.2013,72481,ESS1e06_3,1,6.3,75,0.6825,2.02007964141122,2,2,4,3,5,4,0,,6,4,1,2,1,1,1,1,2,2,2,6,2,3,7,2,0,3,3,2,2,1,3,4,,2,2,2,7,7,6,2,3,2,2,3,1,4,2,3,2,1,3,4,4,1,4,3,2,3,3,2,
ES,ESS1-5e011,1.1,01.02.2013,72482,ESS1e06_3,1,6.3,76,1.0238,2.02007964141122,3,3,2,88,4,2,1,,6,5,1,2,2,1,2,2,2,2,2,6,2,4,4,4,4,5,2,2,2,1,2,4,,3,3,3,7,7,7,2,4,1,3,2,2,4,2,3,2,1,2,5,4,3,3,2,1,2,4,3,
ES,ESS1-5e011,1.1,01.02.2013,72483,ESS1e06_3,1,6.3,77,0.8614,2.02007964141122,3,4,2,6,7,6,4,,88,5,1,2,2,2,2,2,2,2,1,2,2,4,7,6,4,7,5,6,2,2,2,2,,2,2,3,88,5,88,3,4,2,5,2,5,4,3,2,4,2,3,5,2,5,2,3,2,4,2,4,
ES,ESS1-5e011,1.1,01.02.2013,72484,ESS1e06_3,1,6.3,80,0.8614,2.02007964141122,3,4,2,6,5,7,4,,88,88,1,2,2,2,2,2,2,2,1,2,2,6,6,6,6,7,88,6,8,4,2,8,,8,8,2,88,6,5,3,4,2,3,2,4,1,3,3,5,3,3,4,1,5,2,2,3,4,1,4,
ES,ESS1-5e011,1.1,01.02.2013,72485,ESS1e06_3,1,6.3,83,0.8614,2.02007964141122,3,5,4,9,7,8,5,,7,7,1,2,2,2,2,2,2,2,2,6,2,5,9,8,88,3,8,6,2,1,2,4,,2,2,3,3,3,2,3,3,2,2,2,2,4,2,4,2,2,3,3,2,2,3,3,2,2,3,2,
ES,ESS1-5e011,1.1,01.02.2013,72486,ESS1e06_3,1,6.3,84,1.2921,2.02007964141122,2,1,4,8,5,7,8,,8,5,1,2,2,2,2,2,2,2,1,3,2,0,7,8,8,10,7,9,2,2,1,2,,3,3,1,7,3,3,1,5,1,3,1,5,2,1,1,5,1,1,3,1,5,1,6,1,1,1,4,
ES,ESS1-5e011,1.1,01.02.2013,72487,ESS1e06_3,1,6.3,89,1.997,2.02007964141122,4,5,1,88,1,0,0,,88,88,2,2,2,2,2,2,2,2,2,6,2,88,5,2,3,88,88,2,1,1,8,8,,4,4,4,2,88,2,4,1,3,2,2,3,4,2,5,2,2,4,3,2,2,5,3,3,2,5,1,
ES,ESS1-5e011,1.1,01.02.2013,72488,ESS1e06_3,1,6.3,90,1.6642,2.02007964141122,4,4,2,6,3,2,0,,88,88,2,2,2,2,2,2,2,2,2,6,2,88,7,4,3,5,88,4,2,3,8,8,,4,4,4,2,2,2,3,1,4,3,1,4,3,3,4,1,1,2,2,1,3,4,2,3,2,3,1,
ES,ESS1-5e011,1.1,01.02.2013,72489,ESS1e06_3,1,6.3,91,0.6657,2.02007964141122,2,2,4,5,3,4,2,,3,1,1,2,2,2,2,2,2,2,2,6,2,3,5,3,2,6,5,5,2,1,2,4,,2,2,3,6,6,6,2,2,2,2,3,3,4,3,4,4,1,3,2,2,4,4,3,3,3,4,4,
ES,ESS1-5e011,1.1,01.02.2013,72490,ESS1e06_3,1,6.3,92,0.6657,2.02007964141122,2,3,3,4,6,5,3,,6,5,1,2,2,2,2,1,2,2,2,6,2,3,7,4,2,5,3,4,2,1,8,4,,2,2,2,88,8,6,1,6,1,4,2,2,3,1,3,2,1,4,4,3,4,2,4,2,3,5,3,
ES,ESS1-5e011,1.1,01.02.2013,72491,ESS1e06_3,1,6.3,93,0.6657,2.02007964141122,3,4,2,8,8,7,4,,8,7,1,2,2,2,2,2,2,2,2,6,2,4,3,7,4,8,4,6,2,3,1,3,,3,3,4,8,7,6,5,3,2,5,1,6,1,3,3,5,1,4,5,1,6,1,1,6,4,5,6,
ES,ESS1-5e011,1.1,01.02.2013,72492,ESS1e06_3,1,6.3,94,0.6657,2.02007964141122,4,5,2,10,10,9,0,,9,9,2,1,2,2,2,2,2,1,2,6,2,5,7,9,6,10,7,10,3,2,1,2,,1,1,1,8,8,7,1,1,1,1,6,2,6,2,4,1,1,1,6,1,1,6,4,1,1,5,1,
ES,ESS1-5e011,1.1,01.02.2013,72493,ESS1e06_3,1,6.3,95,0.9985,2.02007964141122,4,5,3,10,10,9,8,,88,88,1,2,2,1,2,2,2,2,1,2,2,6,9,9,8,9,9,9,2,2,2,2,,2,3,3,7,8,7,3,6,1,6,1,6,5,2,1,6,2,1,6,1,6,1,3,2,1,1,1,
ES,ESS1-5e011,1.1,01.02.2013,72494,ESS1e06_3,1,6.3,96,0.6657,2.02007964141122,4,5,7,5,4,4,4,,6,7,1,2,2,2,2,2,2,2,1,3,2,4,8,6,5,77,77,77,1,1,1,1,,1,1,1,9,8,8,1,4,1,5,1,1,6,1,2,1,1,1,4,1,1,4,3,1,1,4,1,
ES,ESS1-5e011,1.1,01.02.2013,72495,ESS1e06_3,1,6.3,97,0.3328,2.02007964141122,2,2,4,9,8,8,4,,2,2,2,2,2,2,2,2,2,2,1,6,2,3,7,5,3,8,7,5,2,1,1,1,,2,3,2,8,8,7,3,6,1,4,2,4,2,2,1,1,1,1,4,1,5,3,1,1,1,1,4,
ES,ESS1-5e011,1.1,01.02.2013,72496,ESS1e06_3,1,6.3,98,0.6657,2.02007964141122,4,3,3,10,8,7,3,,88,88,2,2,2,2,2,2,2,2,2,6,2,5,10,4,4,8,8,5,1,3,1,8,,1,1,2,88,8,7,4,5,2,2,2,5,5,3,3,5,1,1,5,1,5,2,2,2,2,1,1,
ES,ESS1-5e011,1.1,01.02.2013,72497,ESS1e06_3,1,6.3,100,0.6657,2.02007964141122,3,2,2,7,7,8,3,,88,88,1,2,2,2,2,2,2,2,1,2,2,5,6,6,4,7,88,6,2,3,2,8,,4,4,4,88,3,2,5,5,2,5,1,5,2,3,2,4,3,2,5,1,5,2,3,3,4,1,5,
ES,ESS1-5e011,1.1,01.02.2013,72498,ESS1e06_3,1,6.3,101,0.7787,2.02007964141122,4,3,3,10,0,9,0,,88,88,1,2,2,2,2,2,2,2,1,2,2,4,10,3,3,8,8,9,2,5,1,1,,2,2,2,7,7,8,3,3,3,4,2,5,2,2,3,5,1,1,5,1,5,1,1,1,1,1,4,
ES,ESS1-5e011,1.1,01.02.2013,72499,ESS1e06_3,1,6.3,103,0.7787,2.02007964141122,3,2,4,6,8,8,6,,6,6,1,2,2,2,2,2,2,2,1,6,1,5,8,3,2,8,6,7,2,1,1,1,,1,2,3,88,8,2,4,2,2,5,1,6,6,4,3,3,2,2,5,1,3,1,1,1,2,1,1,
ES,ESS1-5e011,1.1,01.02.2013,72500,ESS1e06_3,1,6.3,104,1.168,2.02007964141122,4,3,3,8,8,8,2,,3,3,2,2,2,2,2,2,2,2,2,6,2,5,10,2,1,8,6,7,4,1,1,3,,1,1,1,6,6,7,2,3,3,2,3,2,2,2,2,2,2,1,1,1,2,2,4,2,2,4,3,
ES,ESS1-5e011,1.1,01.02.2013,72501,ESS1e06_3,1,6.3,105,1.168,2.02007964141122,2,3,3,9,7,8,2,,4,4,1,2,2,2,2,2,2,2,1,3,2,3,8,4,0,77,77,77,1,4,1,8,,4,4,3,1,5,1,3,5,3,5,1,4,5,4,2,3,2,2,5,1,5,1,1,1,1,1,1,
ES,ESS1-5e011,1.1,01.02.2013,72502,ESS1e06_3,1,6.3,107,0.7787,2.02007964141122,4,5,1,10,0,0,0,,88,88,2,2,2,2,2,2,2,2,2,6,2,88,10,10,0,9,10,10,1,1,1,8,,1,1,1,88,88,5,1,1,1,1,1,1,5,1,4,1,1,1,1,1,6,4,3,1,3,1,1,
ES,ESS1-5e011,1.1,01.02.2013,72503,ESS1e06_3,1,6.3,109,1.168,2.02007964141122,3,3,3,3,5,6,2,,88,3,1,2,2,2,2,2,2,2,1,8,2,4,6,4,3,5,3,3,2,1,3,4,,2,2,2,6,7,6,2,5,1,3,2,2,4,2,2,3,1,1,4,3,4,3,2,2,2,2,4,
ES,ESS1-5e011,1.1,01.02.2013,72504,ESS1e06_3,1,6.3,110,0.3893,2.02007964141122,3,4,2,6,5,7,2,,88,88,1,2,2,2,2,2,2,2,2,6,2,7,3,5,7,7,88,4,3,4,1,3,,4,4,4,3,3,2,4,2,3,2,1,4,1,3,4,3,2,3,2,1,4,1,1,2,4,1,5,
ES,ESS1-5e011,1.1,01.02.2013,72505,ESS1e06_3,1,6.3,111,0.7787,2.02007964141122,2,3,5,8,0,7,0,,4,0,1,2,2,2,2,2,2,2,1,3,2,3,8,4,3,8,8,8,4,2,2,2,,2,3,2,8,9,2,1,5,1,1,1,1,4,1,1,1,1,1,1,1,2,3,3,1,2,1,1,
ES,ESS1-5e011,1.1,01.02.2013,72506,ESS1e06_3,1,6.3,115,0.8478,2.02007964141122,4,5,2,7,7,8,6,,88,88,1,2,2,2,2,2,2,2,2,6,2,7,7,7,7,7,7,7,2,3,2,3,,3,3,3,6,5,88,4,4,2,4,1,5,2,3,2,5,3,2,5,1,6,2,3,3,3,1,6,
ES,ESS1-5e011,1.1,01.02.2013,72507,ESS1e06_3,1,6.3,116,0.8478,2.02007964141122,3,3,3,5,4,4,2,,5,88,1,2,2,1,1,1,1,2,2,6,2,3,5,4,3,5,3,3,2,1,3,4,,1,1,1,6,6,7,1,3,1,2,2,2,4,2,4,3,1,2,1,2,2,4,1,2,2,3,3,
ES,ESS1-5e011,1.1,01.02.2013,72508,ESS1e06_3,1,6.3,117,0.8478,2.02007964141122,3,2,4,4,3,2,0,,2,1,1,1,2,2,2,2,2,2,2,6,2,5,7,4,2,4,5,6,3,1,2,4,,2,2,2,6,6,5,1,5,1,2,2,2,5,2,3,4,1,3,3,3,2,2,3,3,4,3,4,
ES,ESS1-5e011,1.1,01.02.2013,72509,ESS1e06_3,1,6.3,119,0.8478,2.02007964141122,4,5,1,6,5,7,2,,88,88,1,2,2,2,2,2,2,2,2,6,2,5,4,4,3,6,6,6,2,3,2,8,,3,4,4,88,88,3,4,3,3,4,1,4,1,4,3,4,2,3,4,1,4,1,2,3,3,1,4,
ES,ESS1-5e011,1.1,01.02.2013,72510,ESS1e06_3,1,6.3,121,0.8478,2.02007964141122,3,2,3,6,5,5,3,,5,4,1,2,2,1,2,1,2,2,2,6,2,6,7,6,6,7,5,7,3,1,2,3,,3,3,3,6,6,7,2,4,1,3,2,3,3,2,2,3,2,2,4,3,4,3,3,2,3,3,4,
ES,ESS1-5e011,1.1,01.02.2013,72511,ESS1e06_3,1,6.3,122,0.8478,2.02007964141122,3,3,3,5,5,5,0,,5,4,1,2,2,2,2,1,2,2,2,6,2,4,6,4,3,6,6,6,2,1,2,4,,3,3,3,5,6,7,2,2,2,2,2,4,3,3,4,3,2,3,2,1,5,2,2,3,3,2,4,
ES,ESS1-5e011,1.1,01.02.2013,72512,ESS1e06_3,1,6.3,126,0.7417,2.02007964141122,4,4,2,8,7,5,0,,5,5,1,2,2,2,2,2,2,2,2,6,2,6,9,4,3,5,4,3,2,1,1,4,,2,3,3,7,8,7,2,5,1,3,1,2,5,1,1,4,1,1,4,1,3,4,4,3,2,2,4,
ES,ESS1-5e011,1.1,01.02.2013,72513,ESS1e06_3,1,6.3,127,0.7417,2.02007964141122,3,5,5,8,7,8,3,,88,88,1,2,2,2,2,2,2,2,1,3,1,7,7,7,3,9,6,6,2,1,2,1,,1,1,1,8,9,8,3,5,2,3,2,3,4,1,3,3,2,2,2,1,4,3,2,2,2,2,2,
ES,ESS1-5e011,1.1,01.02.2013,72514,ESS1e06_3,1,6.3,128,1.1125,2.02007964141122,2,2,3,10,10,10,10,,10,10,1,2,2,2,2,2,2,2,1,1,2,8,10,9,9,10,8,7,2,2,1,2,,3,3,3,6,8,3,3,4,2,3,1,1,5,2,1,3,3,1,5,2,3,4,4,3,3,2,2,
ES,ESS1-5e011,1.1,01.02.2013,72515,ESS1e06_3,1,6.3,129,1.8542,2.02007964141122,3,2,4,5,4,3,0,,88,88,1,2,2,2,2,2,2,2,1,3,1,7,8,4,3,8,6,6,1,1,2,2,,1,2,1,8,9,9,2,3,1,3,1,3,5,1,1,1,1,1,1,1,2,1,3,2,1,1,1,
ES,ESS1-5e011,1.1,01.02.2013,72516,ESS1e06_3,1,6.3,130,1.1125,2.02007964141122,3,3,3,3,2,4,0,,2,2,1,2,2,2,2,2,2,2,1,2,2,4,7,3,2,4,5,5,2,1,2,3,,3,3,3,7,8,8,4,5,2,4,2,3,3,2,2,4,2,2,5,1,5,3,4,2,2,3,4,
ES,ESS1-5e011,1.1,01.02.2013,72517,ESS1e06_3,1,6.3,131,1.1125,2.02007964141122,4,3,1,6,5,0,0,,88,88,1,2,2,2,2,2,2,2,2,6,2,5,10,6,4,6,4,2,2,2,1,2,,3,3,3,2,7,3,2,4,1,2,1,2,3,2,2,2,2,1,3,1,5,3,1,1,1,1,3,
ES,ESS1-5e011,1.1,01.02.2013,72518,ESS1e06_3,1,6.3,133,2.2927,2.02007964141122,3,3,3,5,5,6,2,,5,5,1,2,2,2,1,1,1,2,1,3,2,4,5,4,4,6,5,6,2,1,2,4,,3,3,3,6,8,5,1,5,1,3,2,3,4,2,3,2,1,2,3,1,3,3,4,2,1,5,3,
ES,ESS1-5e011,1.1,01.02.2013,72519,ESS1e06_3,1,6.3,134,1.9106,2.02007964141122,3,3,4,5,4,3,2,,4,2,2,2,2,1,1,1,1,2,2,6,2,3,6,6,6,7,3,6,4,1,2,3,,3,4,4,5,5,2,1,2,3,2,1,4,1,3,2,1,1,1,2,1,4,2,2,2,3,1,1,
ES,ESS1-5e011,1.1,01.02.2013,72520,ESS1e06_3,1,6.3,135,0.7642,2.02007964141122,3,5,2,5,5,5,4,,6,5,1,2,2,2,2,2,2,2,2,6,2,77,7,7,5,5,4,6,2,2,3,2,,1,1,1,7,7,6,2,5,2,5,4,5,6,4,2,4,3,2,5,3,5,7,6,3,2,3,4,
ES,ESS1-5e011,1.1,01.02.2013,72521,ESS1e06_3,1,6.3,136,0.7642,2.02007964141122,3,3,2,7,5,5,2,,5,88,1,2,2,2,2,2,2,2,1,2,2,4,6,4,3,7,88,6,3,2,2,3,,3,3,3,6,7,5,5,5,2,3,1,5,2,3,2,5,3,2,6,2,6,2,4,3,4,1,6,
ES,ESS1-5e011,1.1,01.02.2013,72522,ESS1e06_3,1,6.3,138,0.3821,2.02007964141122,3,3,3,6,3,4,1,,4,5,2,2,2,2,1,1,1,2,2,6,2,4,7,3,3,5,88,5,2,1,3,4,,2,2,2,7,7,7,3,4,2,3,2,3,4,2,3,3,1,3,4,4,3,3,3,2,2,5,4,
